GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G0601050","1860","California","060","Trinity","1050","Trinity",,,,,,,,,,,,,,,,,,,,,,,
"G0601070","1860","California","060","Tulare","1070","Tulare",,,,,,,,,,,,,,,,,,,,,,,
"G0601090","1860","California","060","Tuolumne","1090","Tuolumne",,,,,,,,,,,,,,,,,,,,,,,
"G0601130","1860","California","060","Yolo","1130","Yolo",,,,,,,,,,,,,,,,,,,,,,,
"G0601150","1860","California","060","Yuba","1150","Yuba",,,,,,,,,,,,,,,,,,,,,,,
"G0900010","1860","Connecticut","090","Fairfield","0010","Fairfield",,,,,,,,,,,,,,,,,,,,,,,
"G0900030","1860","Connecticut","090","Hartford","0030","Hartford",,,,,,,,,,,,,,,,,,,,,,,
"G0900050","1860","Connecticut","090","Litchfield","0050","Litchfield",,,,,,,,,,,,,,,,,,,,,,,
"G0900070","1860","Connecticut","090","Middlesex","0070","Middlesex",,,,,,,,,,,,,,,,,,,,,,,
"G0900090","1860","Connecticut","090","New Haven","0090","New Haven",,,,,,,,,,,,,,,,,,,,,,,
"G0900110","1860","Connecticut","090","New London","0110","New London",,,,,,,,,,,,,,,,,,,,,,,
"G0900130","1860","Connecticut","090","Tolland","0130","Tolland",,,,,,,,,,,,,,,,,,,,,,,
"G0900150","1860","Connecticut","090","Windham","0150","Windham",,,,,,,,,,,,,,,,,,,,,,,
"G1000010","1860","Delaware","100","Kent","0010","Kent",26,13,6,9,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,203
"G1000030","1860","Delaware","100","New Castle","0030","New Castle",35,13,11,11,6,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,86,254
"G1000050","1860","Delaware","100","Sussex","0050","Sussex",176,88,57,31,20,13,12,8,8,15,7,0,0,0,0,0,0,0,0,0,0,435,1341
"G1100010","1860","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",654,225,112,72,53,31,24,12,11,20,7,7,0,0,1,0,0,0,0,0,0,1229,3185
"G1200010","1860","Florida","120","Alachua","0010","Alachua",45,30,23,22,17,13,8,9,8,41,19,25,9,8,15,3,5,0,0,0,0,300,4457
"G1200090","1860","Florida","120","Brevard","0090","Brevard",1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21
"G1200130","1860","Florida","120","Calhoun","0130","Calhoun",3,2,1,1,1,2,2,0,0,5,2,1,1,2,4,0,0,0,0,0,0,27,524
"G1200190","1860","Florida","120","Clay","0190","Clay",9,5,6,4,3,2,1,2,0,5,2,7,1,1,0,1,0,0,0,0,0,49,519
"G1200230","1860","Florida","120","Columbia","0230","Columbia",38,19,14,7,9,12,10,11,13,32,14,11,5,7,3,0,0,0,0,0,0,205,2063
