GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G1250395","1830","Florida Territory","125","Washington","0395","Washington",73,46,30,24,9,0,79,58,35,24,7,0,3,0,2,2,0,0,3,1,0,0,0,0,311,271,182,203,7,4,385,11
"G1300010","1830","Georgia","130","Appling","0010","Appling",30,26,15,14,3,0,31,33,12,14,0,1,0,0,4,0,1,0,0,0,0,0,0,0,652,632,88,91,5,0,179,5
"G1300070","1830","Georgia","130","Baker","0070","Baker",49,45,22,14,10,0,40,55,24,12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,494,483,140,135,0,1,275,1
"G1300090","1830","Georgia","130","Baldwin","0090","Baldwin",787,726,434,266,80,15,811,658,501,199,56,9,5,4,3,2,0,2,2,2,3,3,1,0,1514,1212,2308,2234,16,11,4542,27
"G1300210","1830","Georgia","130","Bibb","0210","Bibb",469,461,467,212,38,0,460,399,317,143,20,2,2,2,8,1,0,0,5,2,4,3,0,0,2224,1915,1647,1341,13,14,2988,27
"G1300290","1830","Georgia","130","Bryan","0290","Bryan",319,300,239,206,104,2,314,333,271,206,108,0,0,3,2,1,2,1,2,0,1,1,1,0,385,338,1170,1232,9,5,2402,14
"G1300310","1830","Georgia","130","Bulloch","0310","Bulloch",113,109,56,37,11,0,121,113,48,29,13,0,0,2,0,0,1,0,0,0,1,0,0,0,1000,933,326,324,3,1,650,4
"G1300330","1830","Georgia","130","Burke","0330","Burke",1114,972,582,530,140,3,1085,1022,552,495,146,1,17,19,6,8,6,0,25,21,11,10,2,0,2654,2412,3341,3301,56,69,6642,125
"G1300350","1830","Georgia","130","Butts","0350","Butts",319,306,137,44,18,0,320,275,165,80,19,0,0,2,1,0,0,0,1,3,0,0,0,0,1705,1549,824,859,3,4,1683,7
"G1300390","1830","Georgia","130","Camden","0390","Camden",446,501,288,212,75,1,452,495,290,244,80,2,6,1,6,5,2,0,3,1,3,3,4,0,752,706,1523,1563,20,14,3086,34
"G1300395","1830","Georgia","130","Campbell","0395","Campbell",115,95,53,37,5,0,104,98,74,32,5,0,2,0,0,2,0,0,3,2,2,0,0,0,1426,1268,305,313,4,7,618,11
"G1300450","1830","Georgia","130","Carroll","0450","Carroll",92,96,29,24,3,0,96,80,46,17,4,0,48,32,15,12,4,0,30,29,19,12,7,0,1430,1294,244,243,111,97,487,208
"G1300510","1830","Georgia","130","Chatham","0510","Chatham",1119,1305,965,854,285,8,1188,1457,1150,879,261,7,42,53,48,31,6,4,46,74,54,44,17,4,2209,2017,4536,4942,184,239,9478,423
